회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,,,균특보조금,,,기금보조금,,,특별교부세,,,분권교부세,,,광역보조금,,,재정보전금,,,특별조정교부금,,,자체재원,,,지방채,,,기타,,
,,,,,,,,,,,,,,,,,,,,,,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,시민 소통 추진,자체,시민소통관,203,업무추진비,203-03,시책추진업무추진비,법정의무,Ο시민 소통현장 업무추진,"2,700,000원","2,700",0,"2,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,700",0,"2,700",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,갈등관리 역량강화 교육,자체,시민소통관,201,일반운영비,201-01,사무관리비,재량,Ο갈등관리교육,"2,648,000원*2회","5,296",0,"5,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,296",0,"5,296",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,갈등민원 관리 및 조정,자체,시민소통관,201,일반운영비,201-01,사무관리비,재량,Ο갈등관리심의위원회 참석수당,"100,000원*14명*2회","2,800",0,"2,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,800",0,"2,800",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,갈등민원 관리 및 조정,자체,시민소통관,201,일반운영비,201-01,사무관리비,재량,Ο갈등조정 자문료,"100,000원*2명*3시간*12회","7,200",0,"7,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,200",0,"7,200",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,갈등민원 관리 및 조정,자체,시민소통관,202,여비,202-01,국내여비,재량,Ο공공갈등관리 조정,"10,000원*1명*8일*12월",960,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,960,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,갈등민원 관리 및 조정,자체,시민소통관,203,업무추진비,203-03,시책추진업무추진비,법정의무,Ο갈등관리 조정 업무추진,"3,600,000원","3,600",0,"3,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,600",0,"3,600",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,민관협치 기반조성 추진,자체,시민소통관,201,일반운영비,201-01,사무관리비,재량,Ο위원회 참석수당,"100,000원*15명*10회","15,000",0,"15,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000",0,"15,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,민관협치 기반조성 추진,자체,시민소통관,201,일반운영비,201-01,사무관리비,재량,Ο협치 홍보 및 운영,"8,000,000원","8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000",0,"8,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,민관협치 기반조성 추진,자체,시민소통관,201,일반운영비,201-03,행사운영비,재량,Ο협치 교육,"15,000,000원","15,000",0,"15,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000",0,"15,000",0,0,0,0,0,0
