=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3681   본예산                     지역화폐 운영지원        기간제근로자등보수           Ο용인와이페이 가맹점 관리요원 인건비                           -     34866     ✅ 정산 포함
3682   본예산                     지역화폐 운영지원        기간제근로자등보수                           ο기본급                95,440원*248일     23670  🔻 소계 중복 제외
3683   본예산                     지역화폐 운영지원        기간제근로자등보수                        ο유급휴일수당                 95,440원*65일      6204  🔻 소계 중복 제외
3684   본예산                     지역화폐 운영지원        기간제근로자등보수                          ο연차수당                 95,440원*11일      1050  🔻 소계 중복 제외
3685   본예산                     지역화폐 운영지원        기간제근로자등보수                          ο명절수당              200,000원*2명*1회       400  🔻 소계 중복 제외
3686   본예산                     지역화폐 운영지원        기간제근로자등보수                          ο국민연금           30,922,560원*4.75%      1469  🔻 소계 중복 제외
3687   본예산                     지역화폐 운영지원        기간제근로자등보수                          ο건강보험  30,922,560원*3.595%*112.95%      1256  🔻 소계 중복 제외
3688   본예산                     지역화폐 운영지원        기간제근로자등보수                          ο고용보험           30,922,560원*1.75%       542  🔻 소계 중복 제외
3689   본예산                     지역화폐 운영지원        기간제근로자등보수                          ο산재보험          30,922,560원*0.888%       275  🔻 소계 중복 제외
3690   본예산                     지역화폐 운영지원            사무관리비                     Ο용인와이페이 운영                 20,000,000원     20000     ✅ 정산 포함
3691   본예산                     지역화폐 발행지원            기타보상금                     Ο지역화폐 발행지원             12,000,000,000원  12000000     ✅ 정산 포함
3692  추경1회                     지역화폐 발행지원            기타보상금              Ο지역화폐 발행지원(균특/지원)             16,320,000,000원  16320000     ✅ 정산 포함
3693  추경1회                     지역화폐 발행지원            기타보상금              Ο지역화폐 발행지원(자체/지원)           경정 5,880,000,000원   5880000     ✅ 정산 포함
3694   본예산                       소상공인 지원            사무관리비                       Ο소상공인 지원                  7,000,000원      7000     ✅ 정산 포함
3695   본예산                       소상공인 지원              출연금                     Ο소상공인 특례보증              2,100,000,000원   2100000     ✅ 정산 포함
3696   본예산                       소상공인 지원              출연금                         Ο특례보증료                210,000,000원    210000     ✅ 정산 포함
3697   본예산                       소상공인 지원         민간경상사업보조                Ο소상공인 역량강화 지원사업                 15,000,000원     15000     ✅ 정산 포함
3698   본예산                       소상공인 지원      민간단체법정운영비보조                  Ο소상공인 연합회 운영비                 30,000,000원     30000     ✅ 정산 포함
3699   본예산                       소상공인 지원            이차보전금                     Ο소상공인 이차보전                250,000,000원    250000     ✅ 정산 포함
3700   본예산                  소상공인 환경개선 지원  공기관등에대한경상적위탁사업비               Ο소상공인 디자인 컨설팅 지원                100,000,000원    100000     ✅ 정산 포함
3701   본예산                  소상공인 환경개선 지원  공기관등에대한경상적위탁사업비              Ο소상공인 재도약 환경개선 지원                300,000,000원    300000     ✅ 정산 포함
3702   본예산               소상공인 온라인 플랫폼 지원  공기관등에대한경상적위탁사업비            Ο소상공인 온라인 플랫폼 비용 지원                100,000,000원    100000     ✅ 정산 포함
3703   본예산        소상공인 (재)창업 및 경영 컨설팅 지원  공기관등에대한경상적위탁사업비        Ο소상공인 (재)창업 및 경영 컨설팅 지원                 20,000,000원     20000     ✅ 정산 포함
3704   본예산                      상권활성화 지원         민간경상사업보조                      Ο상권활성화 지원                 30,000,000원     30000     ✅ 정산 포함
