
==================== [복지정책과] (총 169개 행) ====================
  idx= 2773 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 시책추진업무추진비       | 근거: Ο보훈행정 지원 업무추진                  | 식: 2,700,000원                | 2,700.000000천원
  idx= 2774 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간경상사업보조        | 근거: Ο현충일 참배보상 지원                   | 식: 18,000,000원               | 18,000.000000천원
  idx= 2775 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο광복회 지회운영비                     | 식: 43,978,000원               | 43,978.000000천원
  idx= 2776 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο6.25참전유공자회 지회운영비              | 식: 46,483,000원               | 46,483.000000천원
  idx= 2777 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο고엽제전우회 지회운영비                  | 식: 51,957,000원               | 51,957.000000천원
  idx= 2778 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο특수임무유공자회 지회운영비                | 식: 52,104,000원               | 52,104.000000천원
  idx= 2779 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο재향군인회 지회운영비                   | 식: 40,490,000원               | 40,490.000000천원
  idx= 2780 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο상이군경회 지회운영비                   | 식: 52,296,000원               | 52,296.000000천원
  idx= 2781 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο전몰군경유족회 지회운영비                 | 식: 50,623,000원               | 50,623.000000천원
  idx= 2782 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο전몰군경미망인회 지회운영비                | 식: 48,490,000원               | 48,490.000000천원
  idx= 2783 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο무공수훈자회 지회운영비                  | 식: 61,425,000원               | 61,425.000000천원
  idx= 2784 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간단체법정운영비보조     | 근거: Ο월남전참전자회 지회운영비                 | 식: 47,744,000원               | 47,744.000000천원
  idx= 2785 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο용인3.21만세운동 기념사업               | 식: 8,000,000원                | 8,000.000000천원
  idx= 2786 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο상이군경회의 날 기념식                  | 식: 8,000,000원                | 8,000.000000천원
  idx= 2787 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο6.25참전유공자회 6.25전쟁 기념식         | 식: 10,000,000원               | 10,000.000000천원
  idx= 2788 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο광복회 민족정기 선양사업                 | 식: 9,000,000원                | 9,000.000000천원
  idx= 2789 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο재향군인의 날 행사                    | 식: 8,000,000원                | 8,000.000000천원
  idx= 2790 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο기흥3.30만세운동 기념사업               | 식: 5,000,000원                | 5,000.000000천원
  idx= 2791 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο머내만세운동 기념사업                   | 식: 4,500,000원                | 4,500.000000천원
  idx= 2792 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο재향군인회 안보활동 지원                 | 식: 8,000,000원                | 8,000.000000천원
  idx= 2793 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο3.1절 기념식                      | 식: 10,000,000원               | 10,000.000000천원
  idx= 2794 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο광복절 경축식                       | 식: 10,000,000원               | 10,000.000000천원
  idx= 2795 | 본예산      | 세부: 보훈단체 등 지원                 | 목: 민간행사사업보조        | 근거: Ο해외 파병용사의 날 및 월남전참전 기념행사       | 식: 6,000,000원                | 6,000.000000천원
