
==================== [생태하천과] (총 39개 행) ====================
  idx= 5258 | 본예산      | 세부: 하천 유지관리                   | 목: 공공운영비           | 근거: Ο자동유량계측시설 운용요금                 | 식: 4,800,000원                | 4,800.000000천원
  idx= 5259 | 본예산      | 세부: 하천 유지관리                   | 목: 시설비             | 근거: Ο하천 유지관리                       | 식: 200,000,000원              | 200,000.000000천원
  idx= 5260 | 본예산      | 세부: 국공유지 관리                   | 목: 사무관리비           | 근거: Ο국공유지 측량 등 각종 수수료              | 식: 500,000원*10필지             | 5,000.000000천원
  idx= 5261 | 본예산      | 세부: 하천계곡지킴이 운영                | 목: 기간제근로자등보수       | 근거: Ο인건비                           | 식: 39,564,000원               | 39,564.000000천원
  idx= 5262 | 추경1회     | 세부: 하천계곡지킴이 운영                | 목: 기간제근로자등보수       | 근거: Ο인건비                           | 식: 경정 39,474,000원            | 39,474.000000천원
  idx= 5263 | 본예산      | 세부: 하천계곡지킴이 운영                | 목: 사무관리비           | 근거: Ο차량임차료 및 사무관리비                 | 식: 9,060,000원                | 9,060.000000천원
  idx= 5264 | 추경1회     | 세부: 하천계곡지킴이 운영                | 목: 사무관리비           | 근거: Ο차량임차료 및 사무관리비                 | 식: 경정 9,150,000원             | 9,150.000000천원
  idx= 5265 | 본예산      | 세부: 하천계곡지킴이 운영                | 목: 공공운영비           | 근거: Ο차량 유류지원비                      | 식: 1,800,000원                | 1,800.000000천원
  idx= 5266 | 추경1회     | 세부: 지방하천 유지관리                 | 목: 시설비             | 근거: Ο지방하천 유지관리(성립전)                | 식: 1,070,000,000원            | 1,070,000.000000천원
  idx= 5267 | 추경1회     | 세부: 지방하천 소규모 준설               | 목: 시설비             | 근거: Ο지방하천 소규모 준설(성립전)              | 식: 720,000,000원              | 720,000.000000천원
  idx= 5268 | 본예산      | 세부: 경안천 산책로 조성사업              | 목: 시설비             | 근거: Ο경안천 산책로 조성사업(1구간)             | 식: 500,000,000원              | 500,000.000000천원
  idx= 5269 | 추경1회     | 세부: 경안천 산책로 조성사업              | 목: 시설비             | 근거: Ο경안천 산책로 조성사업(1구간)(성립전)        | 식: 경정 1,000,000,000원         | 1,000,000.000000천원
  idx= 5270 | 본예산      | 세부: 하천변 차단기 설치사업              | 목: 시설비             | 근거: Ο하천변 차단기 설치사업                  | 식: 720,000,000원              | 720,000.000000천원
  idx= 5271 | 본예산      | 세부: 용인 진위천 소규모 홍수위험지구 개량사업    | 목: 시설비             | 근거: Ο용인 진위천 소규모 홍수위험지구 개량사업        | 식: 200,000,000원              | 200,000.000000천원
  idx= 5272 | 추경2회     | 세부: 지방하천 소규모 준설               | 목: 시설비             | 근거: Ο지방하천 소규모 준설(성립전)              | 식: 720,000,000원              | 720,000.000000천원
  idx= 5273 | 추경2회     | 세부: 용인시(양지천, 갈현천, 음달안천) 중소하천 정비사업 | 목: 시설비             | 근거: Ο용인시(양지천, 갈현천, 음달안천) 중소하천 정비사업(성립전) | 식: 130,000,000원              | 130,000.000000천원
  idx= 5274 | 추경2회     | 세부: 하천변 자동차단시설 설치사업(금학천)      | 목: 시설비             | 근거: Ο하천변 자동차단시설 설치사업(성립전)          | 식: 220,000,000원              | 220,000.000000천원
